host	type	root	code	status	url
dcs.suzukiauto.co.za	root	ALTO		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/
dcs.suzukiauto.co.za	root	BREZZA		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/BREZZA/
dcs.suzukiauto.co.za	root	CELERIO		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/CELERIO/
dcs.suzukiauto.co.za	root	DZIRE		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/DZIRE/
dcs.suzukiauto.co.za	root	EECO		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/EECO/
dcs.suzukiauto.co.za	root	FRONX		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/FRONX/
dcs.suzukiauto.co.za	root	IGNIS		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/IGNIS/
dcs.suzukiauto.co.za	root	IGNIS_ATM412		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/IGNIS_ATM412/
dcs.suzukiauto.co.za	root	JIMNY		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/JIMNY/
dcs.suzukiauto.co.za	root	KIZASHI		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/KIZASHI/
dcs.suzukiauto.co.za	root	S-PRESSO		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/S-PRESSO/
dcs.suzukiauto.co.za	root	SPLASH		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SPLASH/
dcs.suzukiauto.co.za	root	SUPER_CARRY		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SUPER_CARRY/
dcs.suzukiauto.co.za	root	SWIFT_A2L310_A2L412_A2L414		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/
dcs.suzukiauto.co.za	root	SX4		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/
dcs.suzukiauto.co.za	root	XL6		403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/XL6/
dcs.suzukiauto.co.za	index	ALTO	AENKSB0A	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENKSB0A/index.html
dcs.suzukiauto.co.za	index	ALTO	AENLSB0A	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENLSB0A/index.html
dcs.suzukiauto.co.za	index	ALTO	AENLSB0C	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENLSB0C/index.html
dcs.suzukiauto.co.za	index	ALTO	AENLBA0C	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENLBA0C/index.html
dcs.suzukiauto.co.za	index	ALTO	AENLJA0A	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/xml/AENLJA0A/index.html
dcs.suzukiauto.co.za	index	BREZZA	AENKSB0A	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENKSB0A/index.html
dcs.suzukiauto.co.za	index	BREZZA	AENLSB0A	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLSB0A/index.html
