source,model,code,confidence,notes
vehiclerecalls.gov.au rec-005515,SWIFT,A2L310,high,Official recall mapping
vehiclerecalls.gov.au rec-005515,SWIFT_SPORT,A2L414,high,Official recall mapping
vehiclerecalls.gov.au rec-005515,BALENO,A1K310,high,Official recall mapping
vehiclerecalls.gov.au rec-005515,VITARA,APK414,high,Official recall mapping
vehiclerecalls.gov.au rec-005515,S_CROSS,AKK414,high,Official recall mapping
vehiclerecalls.gov.au rec-006262,SWIFT,A2L412,high,Official recall mapping
vehiclerecalls.gov.au rec-006262,IGNIS,ATK412,high,Official recall mapping
external listing references,SWIFT,A2L310-2,medium,Observed in parts fitment text
external listing references,SWIFT,A2L412-2,medium,Observed in parts fitment text
external listing references,SWIFT,A2L412-3,medium,Observed in parts fitment text
external listing references,IGNIS,ATM412,medium,Observed with ATK412 in public listings
external listing references,SWIFT,AOL,medium,Observed in public Swift generation references
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,ADU8RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AEN6RW0E,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AEN6RW0H,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AEN7RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AEN7RW0B,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AEN7RW0C,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AEN8RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AFR7RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AFR8RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AGE7RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AGE8RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AGK8RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AHR8RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AHU7RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AHU8RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,AIT8RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,ASL7RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,ASL8RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,ASP7RW0A,high,Confirmed 200 manual URL
public index Top/SrcXML ManListData,SX4_RW415_RW416_RW420,ASP8RW0A,high,Confirmed 200 manual URL
