host	path	status	url
dcs.suzukiauto.co.za	/	200	https://dcs.suzukiauto.co.za/
dcs.suzukiauto.co.za	/robots.txt	200	https://dcs.suzukiauto.co.za/robots.txt
dcs.suzukiauto.co.za	/Upload/Downloads/Service/ServiceManuals/	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/
dcs.suzukiauto.co.za	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	200	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzukiauto.co.za	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	200	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzukiauto.co.za	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	200	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
dcs.suzuki.de	/	200	https://dcs.suzuki.de/
dcs.suzuki.de	/robots.txt	404	https://dcs.suzuki.de/robots.txt
dcs.suzuki.de	/Upload/Downloads/Service/ServiceManuals/	404	https://dcs.suzuki.de/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.de	/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html	404	https://dcs.suzuki.de/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/xml/AENLSB0A/index.html
dcs.suzuki.de	/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html	404	https://dcs.suzuki.de/Upload/Downloads/Service/ServiceManuals/IGNIS/xml/AENLJA0A/index.html
dcs.suzuki.de	/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html	404	https://dcs.suzuki.de/Upload/Downloads/Service/ServiceManuals/BREZZA/xml/AENLBA0C/index.html
