host	dns	ip	path	status	url
dcs.suzuki.ae	NX				
dcs.suzuki.al	NX				
dcs.suzuki.at	OK	80.120.70.17	/	200	https://dcs.suzuki.at/
dcs.suzuki.at	OK	80.120.70.17	/robots.txt	200	https://dcs.suzuki.at/robots.txt
dcs.suzuki.at	OK	80.120.70.17	/Upload/Downloads/Service/ServiceManuals/	200	https://dcs.suzuki.at/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.at	OK	80.120.70.17	/Login_SSO/loginaction.do	200	https://dcs.suzuki.at/Login_SSO/loginaction.do
dcs.suzuki.ba	NX				
dcs.suzuki.be	OK	5.134.1.215	/	ERR	https://dcs.suzuki.be/
dcs.suzuki.be	OK	5.134.1.215	/robots.txt	ERR	https://dcs.suzuki.be/robots.txt
dcs.suzuki.be	OK	5.134.1.215	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.be/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.be	OK	5.134.1.215	/Login_SSO/loginaction.do	ERR	https://dcs.suzuki.be/Login_SSO/loginaction.do
dcs.suzuki.bg	NX				
dcs.suzuki.bh	NX				
dcs.suzuki.ca	NX				
dcs.suzuki.ch	NX				
dcs.suzuki.cl	NX				
dcs.suzuki.co.id	OK	139.255.85.75	/	ERR	https://dcs.suzuki.co.id/
dcs.suzuki.co.id	OK	139.255.85.75	/robots.txt	ERR	https://dcs.suzuki.co.id/robots.txt
dcs.suzuki.co.id	OK	139.255.85.75	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.co.id/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.co.id	OK	139.255.85.75	/Login_SSO/loginaction.do	ERR	https://dcs.suzuki.co.id/Login_SSO/loginaction.do
dcs.suzuki.co.in	NX				
dcs.suzuki.co.jp	NX				
dcs.suzuki.co.kr	OK	222.231.55.96	/	ERR	https://dcs.suzuki.co.kr/
dcs.suzuki.co.kr	OK	222.231.55.96	/robots.txt	ERR	https://dcs.suzuki.co.kr/robots.txt
dcs.suzuki.co.kr	OK	222.231.55.96	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.co.kr/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.co.kr	OK	222.231.55.96	/Login_SSO/loginaction.do	ERR	https://dcs.suzuki.co.kr/Login_SSO/loginaction.do
dcs.suzuki.co.nz	NX				
dcs.suzuki.co.th	NX				
dcs.suzuki.co.uk	NX				
dcs.suzuki.co.za	NX				
dcs.suzuki.com	NX				
dcs.suzuki.com.ar	NX				
dcs.suzuki.com.au	NX				
dcs.suzuki.com.br	NX				
dcs.suzuki.com.mx	NX				
dcs.suzuki.com.my	NX				
dcs.suzuki.com.ph	NX				
dcs.suzuki.com.sg	OK	103.11.189.189	/	ERR	https://dcs.suzuki.com.sg/
dcs.suzuki.com.sg	OK	103.11.189.189	/robots.txt	ERR	https://dcs.suzuki.com.sg/robots.txt
dcs.suzuki.com.sg	OK	103.11.189.189	/Upload/Downloads/Service/ServiceManuals/	ERR	https://dcs.suzuki.com.sg/Upload/Downloads/Service/ServiceManuals/
dcs.suzuki.com.sg	OK	103.11.189.189	/Login_SSO/loginaction.do	ERR	https://dcs.suzuki.com.sg/Login_SSO/loginaction.do
dcs.suzuki.com.vn	NX				
dcs.suzuki.cz	NX				
dcs.suzuki.de	OK	178.15.44.228	/	200	https://dcs.suzuki.de/
