model	code	url
Swift	AZF414	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwG5jZz5ufvm4NTy5bji6OH11dLMvbK_vqyDsPj-zdnFwcPAhZK-1Pr--svdxNWTjoS5sN774uz58aW18suyvry6uAAAAAB8KhLj%24&vid=0&q=
Grand Vitara	JB416	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwERJTQhWk5MFxdpYXY9PUldfXpkFRoXFgQrGFBWZXFtaWtoLToWfFJWUmN1bH07JiwRGGJWQkxBBywdHEJQRFpUSxdnS0dYExsRAAAAALKV7R8%3D%24&vid=0&q=
Alto - A-Star/Celerio/800/Fronte/Cultus	MA800	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHZ7fzRv9rbgaKCoJfB-YGVtbKs3dLf3szj0JierbmloaOg5fLetJqemqu9pLXz7uTZ0KyAn4XNwpL9jbiejJ7EqYiD187JhMXV3NvFq53d0tSOxa6Zh56YnMzLydmq3Nje2tncAAAAAF7LYvs%3D%24&vid=0&q=
Forsa/Sprint/Swift (SA)	SA310	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwEFMSBIdFhUWH90CGsiMV1JaW5wAQ4DAhA_DERCcWV5fX98OS4CaEZCRndheGkvMjgFDHdfRUVQHD0QDl5YRR9kQVhVGkBUZHcYTkBfA3NfVEQPAAAAAAAhitFR%24&vid=0&q=
Forsa/Sprint/Swift (SA)	SA413	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHzx9bru5SSmayE8_bK9au_n5iG9_j19ObJ-rK0h5OPi4mKz9j0nrC0sIGXjp_ZxM7z-oGps7Om6svm-Kius-mSt66j7LaikoHuuLap9YWpo7v38gAAAAAq8vuw%24&vid=0&q=
Alto - A-Star/Celerio/800/Fronte/Cultus	SB308	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwHe6vvPnYqsvp2y0rf3g4aSsrWr2tXY2cvk15-Zqr6ipqSn4vXZs52Znay6o7L06ePe16uHmILKxZX6ir-Zi5nDro-E0MnOg8LS29zCrJra1dOJwqmegJmfm8vMzt6t29_Z3djfAAAAAHagawA%3D%24&vid=0&q=
Vitara/Sidekick	SE413	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGYrL2S78L53sbd_e_erMDU9PPtnJOen42ikdnf7Pjk4OLhpLOf9dvf2-r85fSyr6WYkfrE3srez9yuiM7Ox8TJwNLZms-hm56UmJ8AAAAANzRTHQ%3D%3D%24&vid=0&q=
Vitara/Sidekick	SE419	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwH5zdzEvqC_ioOZnrvqrKG1lZKM_fL__uzD8Li-jZmFgYOAxdL-lLq-uoudhJXTzsT58Julv6u_rr3P6a-vpqWoobO4-67A-v74-f0AAAAAhzC6VQ%3D%3D%24&vid=0&q=
Alto - A-Star/Celerio/800/Fronte/Cultus	SH410	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwE_CxotdWcyZHtOUVoaE2dzU1RKOzQ5OCoFNn54S19DR0VGAxQ4Unx4fE1bQlMVCAI_NkpmeWMrJHQba154angiT25lMSgvYiMzOj0jTXs7NDJoI0h_YXh-eiotLz9MOj44PDk7AAAAABn6Aic%3D%24&vid=0&q=
Vitara/Sidekick	SQ625	https://partsouq.com/en/catalog/genuine/vehicle?c=Suzuki&ssd=%24%2AKwGKvq-Hj-iNyv3R1sSYgNLG5uH_joGMjZ-wg8vN_ur28vDztqGN58nNyfju9-agvbeKg-jWzNjM3c68mtzc1dbb0sDLiN2zioqOj4sAAAAAPmtAQg%3D%3D%24&vid=0&q=
