root	status	url
ALTO	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO/
BREZZA	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/BREZZA/
CELERIO	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/CELERIO/
DZIRE	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/DZIRE/
EECO	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/EECO/
FRONX	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/FRONX/
IGNIS	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/IGNIS/
JIMNY	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/JIMNY/
KIZASHI	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/KIZASHI/
S-PRESSO	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/S-PRESSO/
SPLASH	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SPLASH/
SUPER_CARRY	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SUPER_CARRY/
SX4	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SX4/
XL6	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/XL6/
800	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/800/
AERIO	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/AERIO/
ALTOASTARCELERIO800FRONTECULTUS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTOASTARCELERIO800FRONTECULTUS/
ALTO_-_A-STAR/CELERIO/800/FRONTE/CULTUS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO_-_A-STAR/CELERIO/800/FRONTE/CULTUS/
ALTO_A_STAR_CELERIO_800_FRONTE_CULTUS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/ALTO_A_STAR_CELERIO_800_FRONTE_CULTUS/
