root	status	url
SWIFT_A2L310_A2L412_A2L414	403	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L412_A2L414/
SWIFT	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT/
SWIFT-A2L310	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT-A2L310/
SWIFT-A2L412	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT-A2L412/
SWIFT-A2L414	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT-A2L414/
SWIFT-AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT-AOL/
SWIFT_A2L	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L/
SWIFT_A2L310	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310/
SWIFT_A2L310_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_2/
SWIFT_A2L310_2_A2L412_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_2_A2L412_2/
SWIFT_A2L310_2_A2L412_3	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_2_A2L412_3/
SWIFT_A2L310_2_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_2_AOL/
SWIFT_A2L310_2_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_2_AZG/
SWIFT_A2L310_2_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_2_RS/
SWIFT_A2L310_2_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_2_SF/
SWIFT_A2L310_A2L310_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L310_2/
SWIFT_A2L310_A2L310_2_A2L412_2	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L310_2_A2L412_2/
SWIFT_A2L310_A2L310_2_A2L412_3	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L310_2_A2L412_3/
SWIFT_A2L310_A2L310_2_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L310_A2L310_2_AOL/
